date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Mon Nov 11 2019, Flight Attendant,,Former Employee ,Great Place to work,1,"Friendly people, High Paid Job
","Time constraints, Waking up early
Helpful (1",,5.0,,,,,,,,
Sat Jan 09 2021, Marketing Coordinator,,Former Employee ,good place,0,"good place to learn and practice
","needs some changes on upper management
Helpfu",,4.0,,,,,,,,
Thu Sep 17 2020, Account Manager,"Atlanta, GA",Former Employee ,bureaucratic company,0,"Wanted to be airline worker
","Too bureaucratic company to slow to take an action.
Advice to Management
Get rid of old fashion governmently managment syle
Helpfu","Get rid of old fashion governmently managment syle
Helpfu",2.0,1.0,1.0,1.0,4.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Wed Feb 05 2020, Airport Customer Service,"Boston, MA",Current Employee ,sales and traffic agent,0,"the very nice working environment and experience
","15 days in 1-year maximum
Advice to Management
very strict and not bias
Helpfu","very strict and not bias
Helpfu",3.0,3.0,5.0,1.0,5.0,2.0,Recommends,Neutral Outlook,No opinion of CEO
Thu Jun 20 2019, PSA,"Houston, TX",Former Employee ,a good part time job,1,"the day go by fast
","sometimes they will give you work that is not your resposibility
Advice to Management
Please try to hire direct employees
Helpful (1","Please try to hire direct employees
",3.0,,,,,,,,
Mon Feb 18 2019, Engineer,,Former Employee ,Salary,1,"Good to start for salary
","There is no a good career management
Helpful (1",,4.0,4.0,3.0,3.0,5.0,3.0,Doesn't Recommend,Neutral Outlook,Approves of CEO
Mon Mar 04 2019, Senior Manager,,Former Employee ,I had several positions when I was working for Turkish,1,"The technology and methods being used by the employees are not high end, so it's easy for a qualified employee to show the skills.
","It's full of nepotism, office politics, and gossip.
Helpful (1",,2.0,3.0,2.0,1.0,3.0,2.0,Doesn't Recommend,Neutral Outlook,Disapproves of CEO
Fri Oct 05 2018,Anonymous,,Former Employee ,Human Resource Assistant,0,"Great place to work. Great Benefits
","Not too many but work place can be hectic sometimes.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,,,
Mon Jul 23 2018,Anonymous,"New York, NY",Current Employee ,Marketing Representative,0,"Best company to work for.
- best health care insurance 
- good flight benefits
","So far there nothing bad to say
Advice to Management
Keep up the same performance
Helpfu","Keep up the same performance
Helpfu",5.0,4.0,5.0,5.0,5.0,,Recommends,,Approves of CEO
Sun Jul 22 2018,Anonymous,,Former Employee ,Marketing,0,"Great company with good benefits
","Low pay and no room for improvement
Advice to Management
Invest in your invaluable employees.
Helpfu","Invest in your invaluable employees.
Helpfu",3.0,3.0,2.0,1.0,5.0,2.0,,,
Wed Jun 13 2018, Marketing Representative,"New York, NY",Former Employee ,Ok place to be,4,"If you like to be in the aviation, it is an ok place to be. Its business is growing with many challenges. You will be exposed to a great audience and would get to know many people if you have any chance left from sefchicks:)
","If you have a competitive personality, if you are highly educated, if you speak different languages this place is not for you.
Advice to Management
There is nothing they can do to prevent to be hired of politically influential people’s under-educated and hardly-english-speaking boys and girls, especially in locations like New York and London. My advice to the management is good luck to them.
Helpful (4","There is nothing they can do to prevent to be hired of politically influential people’s under-educated and hardly-english-speaking boys and girls, especially in locations like New York and London. My advice to the management is good luck to them.
",2.0,4.0,1.0,1.0,3.0,2.0,Doesn't Recommend,Positive Outlook,No opinion of CEO
Sun Jun 17 2018, Cargo Manager,"Chicago, IL",Former Employee ,Stay away,4,"Flight benefits when space is available
","Bad management 
No opening position announcement 
No promotion guidance 
Discrimination between Turkish and local staff 
Disabled employee discrimination
Advice to Management
Advice to job seekers 
Stay away from TK
Helpful (4","Advice to job seekers 
Stay away from TK
",1.0,1.0,4.0,1.0,2.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Wed Aug 30 2017, Commercial Manager,"New York, NY",Former Employee ,Commercial Manager,0,"The company has a global footprint and ambitions to grow further. It is one of the best airlines in the world to work for.
","There is a large government ownership in the company which makes the procedures sometimes more bureaucratic than desired.
Helpfu",,4.0,5.0,4.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Jul 25 2017,Anonymous,,Current Employee ,export specialist,0,"great people, great opportunities, good environment
","poor salary, politics inside the company
Helpfu",,4.0,4.0,5.0,4.0,3.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Sat Jul 15 2017, Software Engineer,,Former Employee ,Turkish Airlines,0,"I have worked in Turkish Airlines more than 10 years. It is one of the biggest airlines companies in the world. Compensation and benefits are good , if you stay longer you get discounted flights.
","if you don't like aviation you may feel overwhelmed with the tasks, because flight operation goes 7/24
Helpfu",,4.0,4.0,4.0,4.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Wed Mar 29 2017,Anonymous,,Former Employee ,Cargo Manager,2,"Flight benefits and health insurance
","Bad upper management, nepotism, no career opportunities, they want you work 24/7 and not paying well.
Helpful (2",,2.0,1.0,1.0,1.0,2.0,1.0,Doesn't Recommend,,Disapproves of CEO
Wed Feb 08 2017,Anonymous,,Former Employee ,turkish airlines,5,"free or cheap airline tickets
","discrimination against women
discrimination against religion
discrimination against political affiliation
Advice to Management
be honest
be fair
Helpful (5","be honest
be fair
",3.0,4.0,1.0,1.0,3.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Tue Jan 17 2017,Anonymous,,Current Employee ,Nice Brand,0,"- You get to buy tickets really cheap, for you and your first degree relatives.
- Work with nice people
- You have an impact in the general operations.
","- Not much of salary raise
- For software engineers, there is not much of a career path to follow.
Advice to Management
You should provide your employees a career path that they feel challanged and will be rewarded if they are able to follow it.
Helpfu","You should provide your employees a career path that they feel challanged and will be rewarded if they are able to follow it.
Helpfu",4.0,5.0,5.0,3.0,4.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Tue Mar 29 2016,N/A,, ,Finance Intern,0,"It was a good environment with friendly people and very knowledgable. There are plenty of growth opportunities and the business is global.
","Nothing really, the company is great and I had a great time interning there. The heirarchy is a bit too much, but the rest is okay
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Mar 10 2016,N/A,"Watertown, MA","Human Resources Assistant in Watertown, MA",Great place to work,1,"Everything! This is a great place to work.
","There is not much to stay.
Helpful (1",,5.0,,,,,,,,
Tue Sep 29 2015,N/A,"New York, NY","Marketing in New York, NY",Lack of local support and structure,14,"Great pay and Benefits make Turkish Airlines a solid choice when finding a new job. If you manage to stick with them for a while, you also get the bonus of free or cheap tickets to anywhere they fly or often where partner airlines fly. Your training will often send you to Turkey for what amounts to a free vacation with some schooling during the day.
","The company as a whole is entirely too stuck on the past. They are truly a Turkish company. There is a general attitude of every man and woman for themselves, and everything, and I do mean EVERYTHING, must go through a chain of command for approval. If I wanted to buy a box of staples I would likely need approval. Their biggest problem is that for a global company they are still so heavily focused in Turkey. The headquarters and most of the support staff and call centers are all located there, and often times they do not speak english, which at this time is the global language. Constant complaints by customers talk about an inability for people within the company or at the call centers, to understand their problems and assist them. There is a distinct lack of understanding of the global marketplace, and it hurts their ability to expand. After seeing things from the inside, it is clear that if the company was not so hooked into the government of Turkey, that it would fail. However that connection, which allows low pricing, also hurts the company. The company is basically controlled to a large degree by the politics in Turkey. They rotate staff, which while it allows for staff to see more of the world, also hurts local offices. If someone has just figured out the local market and is suddenly replaced by someone who does not understand the local market and comes from another part of the world, it hurts that office. This is a constant thing with Turkish Airlines, and if you do not transfer where they want, you are forced out. We have lost many a great employee because they did not go along with the herd. This company seems strong from the outside, but from the inside it seems weak and I still do not understand how they are currently successful with the amount of internal infighting and issues with the companies structure.
Advice to Management
You are a global company. Act like it. You micromanage far too much from Turkey and in reality should have regional headquarters managing local offices in that area, instead of having all these tiny local offices all over the world forced to report to HQ causing all sorts of delays due to the time differences, and issues due to the language, cultural, lifestyle, and monetary adjustments. Do not move major staff around so much. In the travel industry you need to know your market so you can sell to them. Having people constantly rotating around may give people a broader world view, but it hurts local markets. Learn to truly be a global company. Turkey is not the center of the world, and the global language is not Turkish. When customers call, they should be able to deal with people who understand them, and as of right now, English is the global language. Your employee's should speak it, especially if they work in local offices not in Turkey.
Helpful (14","You are a global company. Act like it. You micromanage far too much from Turkey and in reality should have regional headquarters managing local offices in that area, instead of having all these tiny local offices all over the world forced to report to HQ causing all sorts of delays due to the time differences, and issues due to the language, cultural, lifestyle, and monetary adjustments. Do not move major staff around so much. In the travel industry you need to know your market so you can sell to them. Having people constantly rotating around may give people a broader world view, but it hurts local markets. Learn to truly be a global company. Turkey is not the center of the world, and the global language is not Turkish. When customers call, they should be able to deal with people who understand them, and as of right now, English is the global language. Your employee's should speak it, especially if they work in local offices not in Turkey.
",1.0,1.0,2.0,3.0,4.0,1.0,Doesn't Recommend,Neutral Outlook,Disapproves of CEO
Sun Jul 19 2015,N/A,, ,Salary,0,"It is the best airline company in Europe
","Work Schedule is a little bit hard,because you have to work late night at least 2 nights a week but depends on which department are you working.
Helpfu",,3.0,4.0,3.0,3.0,4.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Mon Jun 01 2015,Anonymous,"New York, NY",Current Employee ,Administrtion Manager,0,"profitability, beneficial career
","better raises, more man power
Helpfu",,4.0,5.0,5.0,4.0,5.0,5.0,Recommends,Positive Outlook,
Wed May 13 2015,Anonymous,,Current Employee ,review,0,"Best Airlines in europe for years
","Nothing considerable on the cons side
Helpfu",,5.0,,,,,,,,
Sat Nov 01 2014, Sales and Traffic Agent,,Current Employee ,"As somebody else said good starting experience, but politics and bad management ruin everything",12,"Well money is there, there are no cuts on anything, the marketing campaigns are massive and spot on. Employees have some tickets to travel for ""free"". The aviation academy courses are done by competent and passionate people.
","Management, low, middle, high. All is decided by politics. There are no opportunities to grow if you are not turkish or affiliated to a political party. Management has no respect of local laws and for employees and their families. There is no people management course done for these appointed managers, they treat staff badly and think that staff is there only to ""steal""money from the company. Most of the time managers think only about their personal business by using the local staff as personal assistants. There is no meritocracy. Difference in treatment between local staff and local but turkish staff.
Advice to Management
You should consider calling back all the useless managers you have abroad, they are NOT the face of the company (how can they be when most of them does not speak even english???) Try using the money the company is spending on those and give it so some worthy local manager that can do 100 times better than the turkish manager. Station managers are useless if they are not coming from an operative environment. Start by allowing local staff to grow in the company only by doing this you will have passionate and dedicated staff.
Helpful (12","You should consider calling back all the useless managers you have abroad, they are NOT the face of the company (how can they be when most of them does not speak even english???) Try using the money the company is spending on those and give it so some worthy local manager that can do 100 times better than the turkish manager. Station managers are useless if they are not coming from an operative environment. Start by allowing local staff to grow in the company only by doing this you will have passionate and dedicated staff.
",1.0,1.0,2.0,1.0,2.0,1.0,Doesn't Recommend,Positive Outlook,Disapproves of CEO
Tue Sep 02 2014,N/A,, ,Thy,1,"Positive growth, Dynamic Management, good salary
","Too much politics, small airport,
Helpful (1",,5.0,,,,,,,,
Fri Apr 11 2014,N/A,, ,Turkiye's pride,0,"High tech, good funding, visible projects, great benefits
","Slow promotion, too much bureocracy
Helpfu",,5.0,,,,,,,,
Sat Jan 09 2021, Cabin Crew,Istanbul,Current Employee ,The best thing you can have,0,"Easy profitable and make you enjoy the time that you spend at work
","not healthy to fly all the time
Helpfu",,4.0,4.0,3.0,4.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 06 2021, Account Manager,Istanbul,Current Employee ,Prestigious Job,0,"Opportunities to improve, prestigious job
","Sometimes too burocratic, too many employees
Helpfu",,4.0,,,,,,,,
Wed Jan 06 2021, Accounting Manager,Istanbul,Current Employee ,accounting manager,0,"decent salary and good benefits
","too much workload and too much bureaucracy
Advice to Management
need a lot more training
Helpfu","need a lot more training
Helpfu",4.0,2.0,3.0,3.0,3.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 03 2021, Manager,Warsaw,Former Employee ,Worth,0,"Global and world known company
","Some of the destinations hard to work
Helpfu",,4.0,,,,,,,,
Sat Jan 02 2021, Engineer,Istanbul,Current Employee ,a decent company,0,"good benefits including private insurance, discounted tickets.
","no promotion unless you work every hard.
Helpfu",,3.0,,,,,,,,
Mon Dec 14 2020, Part Time Specialist,Istanbul,Current Employee ,Turkish Airlines Technic,0,"Working environment, good salary, cheap flight tickets and hotels
","Number of career opportunities should be increased
Helpfu",,4.0,4.0,5.0,4.0,2.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Dec 11 2020, Cabin Crew,Istanbul,Current Employee ,The best company in Turkey,0,"Salary, Tickets, Good conditions,Health insurance
","Bad Manangement system, team members, Extended duty times.
Helpfu",,5.0,3.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Dec 10 2020, ECommerce Manager,Istanbul,Current Employee ,Good,0,"Tickets, insurance, car service, meals, family balance.
","Old buildings old it infrastructure some old person.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Dec 06 2020, Manager Position,,Current Employee ,Comfortable job,0,"The best airline in the world
","Nothing to be complaining and comments
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,,Approves of CEO
Sun Dec 06 2020, Specialist,Istanbul,Current Employee ,I gave 4 stars.,0,"Turkish Airlines is very well-known international company.
","Airline industry is very fragile.
Helpfu",,4.0,5.0,4.0,4.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Dec 19 2020, Flight Attendant,Istanbul,Current Employee ,Not too bad,0,"Great salary and good opportunities
","Managers dont care about the flight attendants. Very short lay overs. No certainity in the business
Helpfu",,2.0,4.0,2.0,1.0,1.0,5.0,,,
Thu Nov 26 2020, Flight Attendant,Istanbul,Current Employee ,Turkish Airlines flight attendant,0,"Good salary, opportunities of travelling
","Long flight times, airport is far from city
Helpfu",,5.0,,,,,,,,
Sun Nov 22 2020, Avionics Technician,Istanbul,Current Employee ,Good,0,"Very good good company with many support
","It has no disadvantages to employees
Helpfu",,5.0,,,,,,Recommends,Positive Outlook,Approves of CEO
Sun Nov 29 2020, Aircraft Maintenance Technician,Istanbul,Current Employee ,Acceptable,0,"Free Ticket, free meal, service, Health insurance
","Salary, Work area, work time , Work Pressure
Helpfu",,2.0,4.0,2.0,5.0,1.0,5.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Fri Nov 20 2020, Business Analyst,Istanbul,Current Employee ,Working methods not suitable for the new generation,0,"Free Airline ticket for you and your family(can be used if there is free space on the plane)
Discount airline ticket you and your family(can be used if there is free space on the plane)
Extra annual permit( after 1 year 20 days)
7 days of excuse leave a year
Special discount on some hotels (all over the world)
","If you are a minute late for work, your half hour salary will be cut
Working from home is not possible outside of the pandemi
Permission to access news sites, shopping sites or youtube is required during working hours. Once the browser is allowed to be used, the system asks again every 10 minutes and cannot be accessed for more than 2 hours in total.
During the day, total break outside the building cannot be exceeded 30 minutes. Each break cannot exceed 10 minutes. You cannot stay outside for more than 1 hour between lunch. Half an hour of salary deduction is applied even if 1 minute passes. In case of a total outage exceeding 5 hours during the month, defense is requested.
Helpfu",,2.0,5.0,3.0,3.0,2.0,5.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Wed Nov 04 2020, Pricing Specialist,Istanbul,Current Employee ,Turkish Airlines,0,"Global company
Best airline in Europe area
","Salary decline due to the impact of the pandemic impact on airlines company
Helpfu",,5.0,3.0,4.0,3.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Thu Nov 19 2020, Aircraft Maintenance Engineer,Ankara,Current Employee ,Badly,0,"Montly prices very low this year
","This is not recommended for new employees
Helpfu",,2.0,,,,,,Doesn't Recommend,Negative Outlook,Approves of CEO
Sat Oct 31 2020, Sales and Traffic Officer,"Abu Dhabi, Abu Dhabi",Former Employee ,not too bad experience bad local turkish people they are little bit stubbern,0,"communication intenally is half english half turkish
","nothingn sh ahs fh ash fh as
Advice to Management
they take everything personel
Helpfu","they take everything personel
Helpfu",4.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Thu Oct 29 2020, Mechanical Engineer,Istanbul,Current Employee ,Good company,0,"Free ticket provided by company
","Low salary with respect to job market
Helpfu",,5.0,3.0,3.0,3.0,5.0,2.0,Recommends,Positive Outlook,Approves of CEO
Wed Nov 11 2020, Senior Software Developer,Istanbul,Former Employee ,Disaster after pandemic,0,"Flight tickets with discounts up to %100
","With pandemic decrease in the salaries was epic
Helpfu",,3.0,4.0,2.0,1.0,4.0,3.0,Neutral Outlook,,No opinion of CEO
Tue Oct 27 2020, Sales and Traffic Agent,"Manchester, England",Current Employee ,Sales operations,0,"Flexible , Good Pay , Work & Life balance
","No promotion , Old School working environment
Helpfu",,4.0,5.0,3.0,3.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Nov 05 2020, Licensed Aircraft Engineer,Istanbul,Current Employee ,No respect,0,"Global company, most country flights
","No respect to employees, 
Bad Administration
Helpfu",,3.0,3.0,3.0,3.0,3.0,3.0,Neutral Outlook,,No opinion of CEO
Mon Oct 19 2020, Planning Specialist,Istanbul,Current Employee ,One of the Bests in Turkey,0,"Indulgent Managers
May help to work-life balance
","Financial Risk
You may end up in unemployement
Helpfu",,4.0,5.0,5.0,4.0,3.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Oct 19 2020, Planning Specialist,Istanbul,Current Employee ,One of the Bests in Turkey,0,"Indulgent Managers
May help to work-life balance
","Financial Risk
You may end up in unemployement
Helpfu",,4.0,5.0,5.0,4.0,3.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Oct 06 2020, Regional Sales Manager,"Helsinki, Southern Finland",Current Employee ,Turkish Airlines,0,"Extra flight rights
Easy to work
","Not enough promotion chances
No bonuses
Helpfu",,4.0,5.0,3.0,4.0,2.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sun Oct 18 2020, Software Developer,Istanbul,Former Employee ,Going to be worse,0,"It is really nice to fly wherever you want for a really small amount of money. It is a well known global brand so it makes you feel special all over the world.
","It is a really cool company to be in, but lack of top management skills especially in it will drive them to be worse in post pandemic years.
Advice to Management
Employees are not just tools to be used, top management has to make us feel it is worth to be here, but instead, we always felt that it's a gift for us to be here, there are tons of people waiting for working here and individual employees are not important...
Helpfu","Employees are not just tools to be used, top management has to make us feel it is worth to be here, but instead, we always felt that it's a gift for us to be here, there are tons of people waiting for working here and individual employees are not important...
Helpfu",3.0,4.0,2.0,3.0,2.0,4.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Sun Sep 27 2020, Customer Service Representative,Ankara,Former Employee ,BEST,0,"Turkish Airlines is an amazing company to work for
","no downside available for Turkish Airlines
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Oct 10 2020, Aircraft Maintenance Engineer,Ankara,Former Employee ,not good for technic,0,"Gives salary on time
Have Free Tickets
","Disrespectful to employee
Low Salary
Unskilled Administration
Helpfu",,3.0,,,,,,,,
Thu Oct 08 2020, Head of CRM,Istanbul,Former Employee ,not good,0,"benefits of company is good
","industry is in a crisis.
not easy to promote
Helpfu",,3.0,2.0,2.0,1.0,2.0,3.0,Doesn't Recommend,Negative Outlook,No opinion of CEO
Tue Sep 15 2020, Engineer,Istanbul,Current Employee ,No career path,0,"Most valuable brand in Turkey
Reputation of company
Very good work-life balance
Side benefits
","Government pressure
Unqualified management
Very limited career opportunities
Old systems
Helpfu",,4.0,5.0,4.0,1.0,5.0,1.0,,,
Sun Sep 13 2020, Sales Officer,Doha,Current Employee ,Good place to work,0,"Multiple culture and broad mentality
","Too much turkish language Influence
Helpfu",,4.0,3.0,4.0,3.0,4.0,3.0,Recommends,Neutral Outlook,
Sat Sep 12 2020, Configuration Engineer,Istanbul,Current Employee ,Turkish Airlines is a global company that pays over the standard salary with fringe benefits in Turkey,0,"Global, High Salary, Fringe Benefits
","Bulky Organization, Nonprogressive for employes
Helpfu",,4.0,3.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Sep 11 2020, Online Booking,Istanbul,Former Employee ,Work & Life Balance,0,"Good workplace and colleagues
Rare overload or high work pressure
","No real career opportunities
Performance is not honoured well enough
Helpfu",,4.0,5.0,4.0,2.0,4.0,3.0,,,
Wed Sep 02 2020, Sales,Istanbul,Current Employee ,best company ever,0,"very reliable and fun to work
","there is limited space for growth
Helpfu",,5.0,2.0,5.0,1.0,5.0,1.0,,,
Wed Aug 26 2020, Marketing Specialist,,Current Employee ,Good place to work,0,"Competitive salary, good side benefits
","non-flexible working hours, non-flat management
Helpfu",,4.0,5.0,4.0,4.0,5.0,3.0,,,
Wed Aug 26 2020, Specialist,Istanbul,Current Employee ,Instructive like a school,0,"Instructive! Colleagues are experts on their job and help you to learn tips about the job.
","Mismanagement. Management is selected because of its relationship with politics. Sometimes it can cause a lack of management in the departments.
Advice to Management
Management should work with employees more closely to understand their problems.
Helpfu","Management should work with employees more closely to understand their problems.
Helpfu",4.0,4.0,4.0,4.0,4.0,3.0,Recommends,Neutral Outlook,Disapproves of CEO
