date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sun Nov 01 2020, Data Analyst,"New York, NY",Former Employee ,Average,0,"#1 Aviation Company in Turkey
","Not a dynamic company. Slow work processes
Helpfu",,3.0,1.0,2.0,1.0,1.0,4.0,Doesn't Recommend,Neutral Outlook,
Wed Jan 06 2021, Engineer,,Current Employee ,Good Company to Work,0,"lots of thing to learn, good salary for juniors
","long working hours, long commute time
Helpfu",,5.0,,,,,,,,
Tue Jan 05 2021, Material and Process Engineer,Ankara,Current Employee ,M&P,0,"Exciting , engineering, projects are cool
","Bad location, bad managers and hectic work environment
Advice to Management
Change yourself
Helpfu","Change yourself
Helpfu",4.0,2.0,4.0,2.0,2.0,4.0,Doesn't Recommend,Neutral Outlook,
Tue Dec 22 2020, Procurement Specialist,Ankara,Former Employee ,Good,0,"Salary, lunch, free shuttle service
","Too much Engineers working for company
Helpfu",,4.0,3.0,5.0,2.0,3.0,4.0,Recommends,Positive Outlook,
Sun Dec 13 2020, Human Resources Coordinator,Ankara,Current Employee ,Turkish Arespace,0,"A techcnology center of Turkey
Increasing the enginnersing capabilites
5th generations Aicraft Projects...
","Developing organisations
There are some organisational drawbacks
Advice to Management
leader must be more empatatic and they must give importance choching an mentoring
Helpfu","leader must be more empatatic and they must give importance choching an mentoring
Helpfu",5.0,4.0,4.0,4.0,5.0,4.0,Recommends,Positive Outlook,
Sun Dec 06 2020, Hpc Systems Administrator,Ankara,Current Employee ,Good Option in Ankara,0,"-Better salary than most companies in Ankara
-Flexible work hours
","-Far complex from city center
Helpfu",,4.0,,,,,,,,
Tue Nov 24 2020, Quality Engineer,,Former Employee ,Sector Leader of the Country,0,"good job related- training opportunities , friendly employees
","stressful work environment can sometimes be exhausting
Helpfu",,4.0,,,,,,Recommends,,
Sat Nov 28 2020, Engineer,Ankara,Former Employee ,Indian System,1,"Pays more than average salary
","Selfish employees, bad management, and terrible HR department.
Helpful (1",,2.0,1.0,1.0,1.0,2.0,2.0,Doesn't Recommend,Negative Outlook,
Sun Nov 08 2020, Senior Manufacturing Engineer,Ankara,Current Employee ,Great opportunity for a first job experience.,0,"Wide range of manufacturing capabilities.
","Management weaknesses at basic wrights.
Helpfu",,3.0,1.0,2.0,2.0,2.0,3.0,Recommends,Neutral Outlook,
Sun Oct 25 2020, Design Engineer,,Current Employee ,arbitrary,0,"getting experience, advanced systems, good working environment
","long distance to the city, long working hours
Helpfu",,3.0,,,,,,,,
Fri Oct 23 2020, Supportability Engineer,Ankara,Current Employee ,Weak,0,"Salary is medium, workload is avarage
","Too many people and forcing management
Helpfu",,2.0,,,,,,,,
Thu Nov 12 2020, Senior Financial Specialist,Ankara,Current Employee ,Don't!,0,"There are some people who are worth talking to.
","Workplace harassment with total impunity. Incompetent managers. Mostly maltreatment and depressed co-workers.
Advice to Management
Get rid of bad managers. Stop rampant workplace harassment. Improve physical conditions of workspaces.
Helpfu","Get rid of bad managers. Stop rampant workplace harassment. Improve physical conditions of workspaces.
Helpfu",1.0,1.0,1.0,1.0,1.0,2.0,Doesn't Recommend,Negative Outlook,
Tue Oct 06 2020, Senior IT Specialist,Ankara,Current Employee ,good company,0,"good in relations and good salary
","there is no time to for family
Helpfu",,4.0,2.0,4.0,4.0,4.0,4.0,Recommends,Neutral Outlook,
Mon Oct 19 2020, Software Engineer,Ankara,Current Employee ,Ask to your employer about whether they sign the contract or not.,0,"The single government-led company which produces spacecraft and aircraft.
","Doesn't respect people and understand their value.
Helpfu",,3.0,2.0,2.0,2.0,5.0,3.0,Doesn't Recommend,Negative Outlook,
Wed Sep 16 2020, Design Engineer,,Current Employee ,Working at TAI,0,"Competitive salary, special health insurance
","Long projects, Long bus ride
Helpfu",,4.0,,,,,,,,
Mon Oct 19 2020, Design Engineer,Ankara,Current Employee ,meh,0,"nothing interesting really, salary is meh due to disasterous economy
","everything else in the company
Helpfu",,1.0,,,,,,,,
Wed Sep 09 2020, Quality Assurance,,Current Employee ,Quality in TAI,1,"Good company to work, good employers, lots of opportunity to learn and improve, well paid
","Changing company structure and organization, managers which are not qualified
Advice to Management
Make employers feel their importance, be fair, appretiate the work experince rather than the BS or MS, benedit from knowledge of experinced employers
Helpful (1","Make employers feel their importance, be fair, appretiate the work experince rather than the BS or MS, benedit from knowledge of experinced employers
",4.0,3.0,3.0,5.0,5.0,1.0,Recommends,Negative Outlook,
Sun Aug 02 2020, Software Design Engineer,Ankara,Former Employee ,Depends on the team,0,"Competitive salary for juniors. Good perks. Nice people in some teams.
","For highly skilled mediors or seniors low salary because it depends on your years of experience. Some teams have bullies basically, you should choose wisely and be lucky.
Advice to Management
Skill rated salary should be implemented. Strict rules against bullying should be applied too.
Helpfu","Skill rated salary should be implemented. Strict rules against bullying should be applied too.
Helpfu",2.0,4.0,3.0,3.0,4.0,3.0,Recommends,Neutral Outlook,
Sun Jun 14 2020, Avionics Systems Engineer,Ankara,Current Employee ,One of the best of the country,0,"Good salary
Big company
Culture
Foods
Working in the newest technologies
","bureaucracy 
Slow work style
not open to new ideas
Working hours
Helpfu",,4.0,3.0,4.0,5.0,4.0,2.0,Recommends,Positive Outlook,
Tue May 05 2020, Senior Electrical Design Engineer,Ankara,Current Employee ,One of the best,0,"corporate company, competative salaty, health insurance
","hard to promote,promotion is not always based on open competition
Helpfu",,4.0,4.0,3.0,4.0,4.0,3.0,Recommends,Positive Outlook,
Sun Apr 05 2020,Anonymous,,Current Employee ,Working in TAI,0,"From satellite to helicopters; TAI has huge variety of products and it gives employees to work on different aspects of aerospace industry
","Old managers; there are a lot problems regarding generations difference
Advice to Management
More freedom for employees
Helpfu","More freedom for employees
Helpfu",4.0,3.0,3.0,4.0,4.0,2.0,Recommends,Positive Outlook,
Thu Mar 19 2020, Software Design Engineer,Istanbul,Current Employee ,Not a bad Place,0,"- A place with Prestige 
- Important Projects
- Allowing higher education
","- Very bossy place
- Sometimes not respect the employees
Advice to Management
- Listen to your employees
Helpfu","- Listen to your employees
Helpfu",3.0,4.0,3.0,3.0,3.0,1.0,Doesn't Recommend,Negative Outlook,
Mon Feb 10 2020, Project Engineer,,Current Employee ,The biggest aerospace company of Turkey,0,"- Good benefits
- Opportunity for rotation
- Working with many foreign and local companies
","- Campus is huge
- Departments are too crowded with few people actually doing the work
- Political setting in Turkey
Helpfu",,3.0,2.0,1.0,3.0,5.0,1.0,Doesn't Recommend,,
Sun Jan 26 2020, Design Engineer,Istanbul,Current Employee ,Best in Turkey,0,"Health insurance, above average salary, a salary bonus in every 3 months
","Avarage management, slow industry, low vacation time
Helpfu",,4.0,4.0,4.0,4.0,5.0,4.0,Recommends,Positive Outlook,
Sun Feb 09 2020, Software Engineer,Ankara,Current Employee ,About TAI,0,"Nothin but being national company
","no social oppurtinities
no career goal and project management 
very bad and old offices
Helpfu",,1.0,1.0,1.0,1.0,1.0,1.0,Doesn't Recommend,Negative Outlook,
Fri Dec 20 2019, Program Leader,Ankara,Current Employee ,"Good,",0,"Powerfull, Focus Company, High Technology
","Unwieldy, Tons of unexperienced employees
Helpfu",,5.0,3.0,2.0,5.0,4.0,2.0,Recommends,Positive Outlook,No opinion of CEO
Mon Jan 13 2020, Design Engineer,Ankara,Current Employee ,Hard working conditions,0,"Good Salary, good friendships among former workers.
","Tons of inexperienced employees and managers. So much bureaucracy. Far away from city and challenging working hours.
Helpfu",,1.0,1.0,1.0,1.0,3.0,2.0,Doesn't Recommend,Negative Outlook,
Sun Dec 22 2019, Project Manager,Ankara,Former Employee ,"chief engineering, manufacturing engineering at F16 and Airbus projects",0,"aerospace industry, special products, ability to work with international companies
","working hours, crowded places, mismanagement, lack of value to person
Helpfu",,3.0,3.0,3.0,2.0,3.0,2.0,Recommends,Neutral Outlook,
Mon Sep 09 2019, Software Design Engineer,Ankara,Current Employee ,Experiences in 3 different department in 3 years,0,"-Great salary
-Side benefits
-Job security
-Transportation and cafeteria
-Silent work environment
","-Work performance
-Less professional work environment
Helpfu",,4.0,3.0,3.0,3.0,5.0,4.0,Recommends,Positive Outlook,
Fri Aug 09 2019, Project Manager,Ankara,Current Employee ,leading various multi-disciplinary teams to design and manufacture aerospace systems,0,"talented team members, getting experience in advanced systems, good salary
","hierarchy, slow process, less training opportunities
Helpfu",,5.0,4.0,4.0,4.0,5.0,3.0,Recommends,Positive Outlook,
Tue Aug 13 2019, Systems Engineer,Ankara,Current Employee ,Hard working conditions,0,"Salary is good compared to other companies
","45 weekly working hours is very hard for work life balance and facility location is outside of city. you waste 2 hours on the road everyday. recently high turnover rate between employees
Advice to Management
Working conditions should be the first thing to improve
Helpfu","Working conditions should be the first thing to improve
Helpfu",2.0,1.0,2.0,3.0,2.0,2.0,Doesn't Recommend,,
Tue Jul 23 2019, Chief Engineer,,Current Employee ,Working in TAI,0,"Flexible working hours, training programs
","Too many paper works and quite slow working process
Helpfu",,4.0,5.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,
